id,transaction_date,description,amount,reference_number
txn-04760,2024-12-17,WIRE RECEIVED,1100.00,
txn-07902,2024-12-17,TAX REFUND DEPOSIT,1197.96,EXT0902
txn-02231,2024-12-14,BETTY JO KING DEPOSIT,198.50,REF0231
txn-06202,2024-12-20,"BAKER, KENNETH ACH",3456.00,REF0202
txn-01106,2024-12-17,SUSAN KAY LEWIS PAYMENT,923.25,REF0106
txn-06043,2024-12-22,GEORGE WILLIAM CARTER ONLINE,9870.50,REF0043
txn-09643,2024-12-16,JOS CLARK ACH PMT,1567.00,REF0643
txn-02391,2024-12-13,GREEN RONALD ACH,1234.00,REF0391
txn-09379,2024-12-14,ROBINSON THOMAS DEP,4125.00,REF0379
txn-01052,2024-12-24,"TURNER, BRIAN DEPOSIT",4560.00,REF0052
txn-09980,2024-12-15,GRANT DEPOSIT,17822.96,EXT0980
txn-09238,2024-12-14,MARIA TERESA CAMPBELL ONLINE,2567.75,REF0238
txn-02055,2024-12-12,GEORGE WILLIAM CARTER ACH PMT,9870.50,REF0055
txn-03265,2024-12-23,ADAMS SANDRA CHECK DEP,456.75,REF0265
txn-08338,2024-12-14,"TURNER, BRIAN PAYMENT",4560.00,REF0338
txn-05480,2024-12-22,EDWARD PEREZ,1678.00,REF0480
txn-07292,2024-12-25,AMANDA LYNN WILSON ONLINE,3200.00,REF0292
txn-08850,2024-12-13,MISC PAYMENT,5600.00,
txn-08601,2024-12-20,JONES S ONLINE PMT,1200.00,REF0601
txn-08372,2024-12-12,CHECK THOMAS WAYNE ROBINSON,4125.00,REF0372
txn-01679,2024-12-15,THOMAS ROBINSON,4125.00,REF0679
txn-02398,2024-12-15,PATRICIA SUE MARTIN ONLINE,1100.00,REF0398
txn-03520,2024-12-18,J CLARK ONLINE,1567.00,REF0520
txn-07020,2024-12-10,DEP STEVEN PAUL YOUNG,6750.00,REF0020
txn-02483,2024-12-17,ACH J HARRIS,432.75,REF0483
txn-09850,2024-12-13,MISC PAYMENT,5600.00,
txn-03135,2024-12-13,EMILY ROSE DAVIS CHECK DEP,2340.00,REF0135
txn-03177,2024-12-12,DEP LINDA CAROL MOORE,675.00,REF0177
txn-05369,2024-12-21,CHECK DEP KAREN SUE ALLEN,534.00,REF0369
txn-03416,2024-12-20,MICHELLE T,1875.50,REF0416
txn-08829,2024-12-19,ACH DEPOSIT,875.50,REF0829
txn-04699,2024-12-13,J SMITH DEP,450.00,REF0699
txn-04811,2024-12-14,ACH DEPOSIT,789.25,REF0811
txn-00119,2024-12-17,SCOTT DOROTHY ACH,789.25,REF0119
txn-01414,2024-12-10,M CAMPBELL PAYMENT,2567.75,REF0414
txn-00704,2024-12-25,DEPOSIT,875.50,REF0704
txn-08459,2024-12-21,DANIEL T,2890.00,REF0459
txn-01243,2024-12-18,"MOORE, LINDA CHECK",675.00,REF0243
txn-04383,2024-12-18,ACH PMT CHRISTOPHER JAMES BROWN,567.25,REF0383
txn-01120,2024-12-24,JONES SARAH DEP,1200.00,REF0120
txn-06051,2024-12-10,WIRE WILLIAM SCOTT JACKSON,299.00,REF0051
txn-00287,2024-12-13,SUSAN KAY LEWIS ONLINE PMT,923.25,REF0287
txn-08134,2024-12-20,MARTIN PATRICIA ACH,1100.00,REF0134
txn-00509,2024-12-21,B KING ONLINE,198.50,REF0509
txn-01105,2024-12-12,MITCHELL MARGARET ACH,234.25,REF0105
txn-02934,2024-12-22,INTEREST PAYMENT,194.76,EXT0934
txn-03062,2024-12-12,KING BETTY DEPOSIT,198.50,REF0062
txn-04959,2024-12-22,INSURANCE REFUND,3726.62,EXT0959
txn-01067,2024-12-22,BETTY JO KING ACH,198.50,REF0067
txn-01222,2024-12-24,"WHITE, ELIZABETH CHECK",5600.00,REF0222
txn-07782,2024-12-12,UNKNOWN DEPOSIT,567.25,REF0782
txn-08242,2024-12-20,CHECK JOSEPH MARK CLARK,1567.00,REF0242
txn-05750,2024-12-16,MISC PAYMENT,4125.00,REF0750
txn-00898,2024-12-14,UNKNOWN DEPOSIT,287.00,
txn-07267,2024-12-21,"CARTER, GEORGE ACH PMT",9870.50,REF0267
txn-09186,2024-12-23,"THOMAS, MICHELLE WIRE",1875.50,REF0186
txn-01073,2024-12-20,PAYMENT RICHARD DEAN TAYLOR,8900.00,REF0073
txn-02022,2024-12-21,KENNETH RAY BAKER PAYMENT,3456.00,REF0022
txn-09508,2024-12-15,DEPOSIT S ADAMS,456.75,REF0508
txn-03077,2024-12-14,PATRICIA SUE MARTIN WIRE,1100.00,REF0077
txn-01202,2024-12-20,"BAKER, KENNETH ACH",3456.00,REF0202
txn-01484,2024-12-24,D MARTINEZ CHECK,189.99,REF0484
txn-00029,2024-12-23,ONLINE PMT JAMES PATRICK HARRIS,432.75,REF0029
txn-04241,2024-12-19,PEREZ EDWARD ONLINE PMT,1678.00,REF0241
txn-06711,2024-12-21,WIRE TRANSFER,1890.75,REF0711
txn-03771,2024-12-18,PAYMENT,789.25,REF0771
txn-07100,2024-12-11,MARGARET ANN MITCHELL ONLINE PMT,234.25,REF0100
txn-06144,2024-12-18,"WILLIAMS, MICHAEL CHECK DEP",875.50,REF0144
txn-05991,2024-12-16,PROMOTIONAL CREDIT,163.03,EXT0991
txn-05996,2024-12-15,BANK ADJUSTMENT,36.37,EXT0996
txn-02075,2024-12-11,ADAMS SANDRA ACH,456.75,REF0075
txn-01770,2024-12-22,ACH TRANSFER,2345.00,REF0770
txn-03223,2024-12-18,EMILY ROSE DAVIS DEP,2340.00,REF0223
txn-08475,2024-12-17,CHARLES HALL,1890.75,REF0475
txn-08960,2024-12-24,DIVIDEND PAYMENT,780.11,EXT0960
txn-00483,2024-12-17,ACH J HARRIS,432.75,REF0483
txn-05074,2024-12-21,"WILLIAMS, MICHAEL WIRE",875.50,REF0074
txn-04490,2024-12-17,PAYMENT R ROBERTS,892.50,REF0490
txn-07295,2024-12-23,SMITH JOHN ACH PMT,450.00,REF0295
txn-02856,2024-12-15,WIRE TRANSFER,4125.00,REF0856
txn-02239,2024-12-10,JACKSON WILLIAM DEPOSIT,299.00,REF0239
txn-00605,2024-12-23,ACH PMT E WHITE,5600.00,REF0605
txn-08704,2024-12-25,DEPOSIT,875.50,REF0704
txn-04105,2024-12-12,MITCHELL MARGARET ACH,234.25,REF0105
txn-01261,2024-12-14,MITCHELL MARGARET WIRE,234.25,REF0261
txn-03441,2024-12-22,PHILLIPS KEVI,345.00,REF0441
txn-06076,2024-12-23,DEP DANIEL RAY THOMPSON,2890.00,REF0076
txn-00192,2024-12-14,"THOMPSON, DANIEL ACH",2890.00,REF0192
txn-04874,2024-12-16,WIRE RECEIVED,234.25,REF0874
txn-06482,2024-12-14,CAMPBELL M DEP,2567.75,REF0482
txn-08880,2024-12-21,MISC PAYMENT,189.99,
txn-01876,2024-12-23,CHECK PAYMENT,2567.75,
txn-05200,2024-12-24,CHECK BRIAN LEE TURNER,4560.00,REF0200
txn-09859,2024-12-11,WIRE RECEIVED,1567.00,REF0859
txn-07166,2024-12-21,ONLINE PMT MARGARET ANN MITCHELL,234.25,REF0166
txn-08204,2024-12-10,ACH KEVIN MICHAEL PHILLIPS,345.00,REF0204
txn-07498,2024-12-13,JACKSON W ACH PMT,299.00,REF0498
txn-07150,2024-12-17,"WHITE, ELIZABETH ONLINE",5600.00,REF0150
txn-04543,2024-12-10,MICHELLE T,1875.50,REF0543
txn-08460,2024-12-14,R ANDERSON DEPOSIT,725.00,REF0460
txn-08905,2024-12-20,DIVIDEND PAYMENT,190.69,EXT0905
txn-09596,2024-12-17,WIRE R ROBERTS,892.50,REF0596
txn-08725,2024-12-23,UNKNOWN DEPOSIT,432.75,REF0725
txn-09836,2024-12-24,ACH DEPOSIT,4125.00,
txn-07383,2024-12-18,ACH PMT CHRISTOPHER JAMES BROWN,567.25,REF0383
txn-06213,2024-12-15,PATRICIA SUE MARTIN CHECK,1100.00,REF0213
txn-06521,2024-12-16,JAMES HARRIS,432.75,REF0521
txn-09338,2024-12-14,"TURNER, BRIAN PAYMENT",4560.00,REF0338
txn-06358,2024-12-20,GEORGE WILLIAM CARTER DEP,9870.50,REF0358
txn-08142,2024-12-15,DEP JOHN DAVID SMITH,450.00,REF0142
txn-02088,2024-12-20,ONLINE PMT SUSAN KAY LEWIS,923.25,REF0088
txn-03821,2024-12-19,CHECK RECEIVED,1100.00,REF0821
txn-09681,2024-12-11,STE YOUNG WIRE,6750.00,REF0681
txn-09282,2024-12-18,PAYMENT BARBARA JEAN LEE,345.50,REF0282
txn-01731,2024-12-21,DEPOSIT,567.00,
txn-04509,2024-12-21,B KING ONLINE,198.50,REF0509
txn-03150,2024-12-17,"WHITE, ELIZABETH ONLINE",5600.00,REF0150
txn-08586,2024-12-19,ASH NELSON PAYMENT,567.00,REF0586
txn-08511,2024-12-15,JOHN SMITH,450.00,REF0511
txn-03164,2024-12-21,PATRICIA SUE MARTIN WIRE,1100.00,REF0164
txn-07792,2024-12-25,CHECK RECEIVED,3456.00,
txn-00172,2024-12-22,"JOHNSON, SARAH PAYMENT",1200.00,REF0172
txn-03010,2024-12-23,RUTH ELLEN ROBERTS CHECK,892.50,REF0010
txn-02037,2024-12-16,ADAMS SANDRA ACH PMT,456.75,REF0037
txn-06434,2024-12-16,NANCY W,287.00,REF0434
txn-08811,2024-12-14,ACH DEPOSIT,789.25,REF0811
txn-05673,2024-12-16,DON WRIGHT ACH,2345.00,REF0673
txn-05567,2024-12-15,LINDA MOORE,675.00,REF0567
txn-06555,2024-12-22,BARBARA LEE,345.50,REF0555
txn-04299,2024-12-18,"ROBINSON, THOMAS ONLINE PMT",4125.00,REF0299
txn-04495,2024-12-24,BARBARA LEE,345.50,REF0495
txn-07224,2024-12-11,"HARRIS, JAMES CHECK",432.75,REF0224
txn-00401,2024-12-24,BETTY K,198.50,REF0401
txn-02370,2024-12-11,MARIA TERESA CAMPBELL CHECK DEP,2567.75,REF0370
txn-00395,2024-12-14,MARTINEZ DAVID ACH PMT,189.99,REF0395
txn-04080,2024-12-14,CHRISTOPHER JAMES BROWN ACH,567.25,REF0080
txn-01869,2024-12-11,PAYMENT RECEIVED,5600.00,REF0869
txn-01606,2024-12-12,DON WRIGHT PAYMENT,2345.00,REF0606
txn-00144,2024-12-18,"WILLIAMS, MICHAEL CHECK DEP",875.50,REF0144
txn-01325,2024-12-11,JACKSON WILLIAM PAYMENT,299.00,REF0325
txn-02587,2024-12-17,C BROWN WIRE,567.25,REF0587
txn-08987,2024-12-23,VENDOR REBATE,1009.82,EXT0987
txn-07574,2024-12-12,EDW PEREZ PAYMENT,1678.00,REF0574
txn-05387,2024-12-14,PAYMENT PATRICIA SUE MARTIN,1100.00,REF0387
txn-05814,2024-12-13,CUSTOMER PAYMENT,789.25,REF0814
txn-02777,2024-12-19,ACH TRANSFER,2567.75,REF0777
txn-07737,2024-12-15,ACH DEPOSIT,534.00,
txn-02636,2024-12-15,LEE B ONLINE PMT,345.50,REF0636
txn-05239,2024-12-10,JACKSON WILLIAM DEPOSIT,299.00,REF0239
txn-08791,2024-12-10,CHECK DEPOSIT,1234.00,REF0791
txn-05566,2024-12-21,SARAH J,1200.00,REF0566
txn-06208,2024-12-22,CHECK ELIZABETH JANE WHITE,5600.00,REF0208
txn-08804,2024-12-22,PAYMENT RECEIVED,1200.00,REF0804
txn-05856,2024-12-15,WIRE TRANSFER,4125.00,REF0856
txn-05511,2024-12-15,JOHN SMITH,450.00,REF0511
txn-00843,2024-12-20,CHECK DEPOSIT,234.25,
txn-08687,2024-12-13,ACH M WILLIAMS,875.50,REF0687
txn-05335,2024-12-19,AMANDA LYNN WILSON CHECK DEP,3200.00,REF0335
txn-03190,2024-12-25,PAYMENT JOSEPH MARK CLARK,1567.00,REF0190
txn-03896,2024-12-12,UNKNOWN DEPOSIT,2567.75,REF0896
txn-07698,2024-12-14,AMANDA WILSON,3200.00,REF0698
txn-09165,2024-12-19,"CARTER, GEORGE WIRE",9870.50,REF0165
txn-04841,2024-12-21,PAYMENT,892.50,REF0841
txn-03173,2024-12-13,"PHILLIPS, KEVIN ONLINE",345.00,REF0173
txn-02094,2024-12-12,WILSON AMANDA DEP,3200.00,REF0094
txn-00793,2024-12-18,CHECK DEPOSIT,432.75,
txn-07861,2024-12-24,MISC PAYMENT,675.00,REF0861
txn-04888,2024-12-24,UNKNOWN DEPOSIT,1678.00,REF0888
txn-04761,2024-12-10,PAYMENT,9870.50,
txn-05362,2024-12-17,SANDRA LEE ADAMS ACH PMT,456.75,REF0362
txn-02251,2024-12-21,MARTINEZ DAVID ONLINE PMT,189.99,REF0251
txn-06151,2024-12-24,ACH DOROTHY MAE SCOTT,789.25,REF0151
txn-08562,2024-12-21,LINDA M,675.00,REF0562
txn-07390,2024-12-12,"ROBERTS, RUTH ONLINE",892.50,REF0390
txn-09608,2024-12-21,ACH D WRIGHT,2345.00,REF0608
txn-04664,2024-12-12,DAVIS E PAYMENT,2340.00,REF0664
txn-07189,2024-12-22,KING BETTY DEPOSIT,198.50,REF0189
txn-05483,2024-12-17,ACH J HARRIS,432.75,REF0483
txn-03692,2024-12-10,ROBINSON THOM,4125.00,REF0692
txn-03324,2024-12-11,"THOMPSON, DANIEL WIRE",2890.00,REF0324
txn-06224,2024-12-11,"HARRIS, JAMES CHECK",432.75,REF0224
txn-05601,2024-12-20,JONES S ONLINE PMT,1200.00,REF0601
txn-07562,2024-12-21,LINDA M,675.00,REF0562
txn-04992,2024-12-13,ROYALTY PAYMENT,1490.90,EXT0992
txn-08900,2024-12-22,ACH DEPOSIT,4125.00,
txn-08805,2024-12-12,CHECK RECEIVED,725.00,
txn-06661,2024-12-19,D THOMPSON DEPOSIT,2890.00,REF0661
txn-01560,2024-12-22,BROWN CHRI,567.25,REF0560
txn-04983,2024-12-18,REFUND FROM VENDOR,334.01,EXT0983
txn-00184,2024-12-25,JAMES PATRICK HARRIS WIRE,432.75,REF0184
txn-04257,2024-12-25,ELIZABETH JANE WHITE ACH,5600.00,REF0257
txn-05548,2024-12-18,ELIZABETH WHITE,5600.00,REF0548
txn-06904,2024-12-24,VENDOR REBATE,643.98,EXT0904
txn-05111,2024-12-20,THOMAS MICHELLE CHECK DEP,1875.50,REF0111
txn-03174,2024-12-23,ONLINE PMT ROBERT LEE ANDERSON,725.00,REF0174
txn-07739,2024-12-16,ONLINE DEPOSIT,4560.00,REF0739
txn-03022,2024-12-21,KENNETH RAY BAKER PAYMENT,3456.00,REF0022
txn-01153,2024-12-13,KEVIN MICHAEL PHILLIPS ACH,345.00,REF0153
txn-07274,2024-12-11,CHECK DEP SANDRA LEE ADAMS,456.75,REF0274
txn-04341,2024-12-16,"WRIGHT, DONALD ONLINE",2345.00,REF0341
txn-01077,2024-12-14,PATRICIA SUE MARTIN WIRE,1100.00,REF0077
txn-01952,2024-12-16,LOYALTY BONUS,26.60,EXT0952
txn-09112,2024-12-19,JOHN DAVID SMITH DEP,450.00,REF0112
txn-05477,2024-12-13,NELSON ASHL,567.00,REF0477
txn-00059,2024-12-21,"NELSON, ASHLEY DEP",567.00,REF0059
txn-07047,2024-12-21,ONLINE PMT RUTH ELLEN ROBERTS,892.50,REF0047
txn-08943,2024-12-11,BANK ADJUSTMENT,81.06,EXT0943
txn-09225,2024-12-25,"KING, BETTY PAYMENT",198.50,REF0225
txn-06001,2024-12-15,"ROBERTS, RUTH ACH",892.50,REF0001
txn-09661,2024-12-19,D THOMPSON DEPOSIT,2890.00,REF0661
txn-07894,2024-12-25,UNKNOWN DEPOSIT,9870.50,REF0894
txn-08622,2024-12-23,ROBERTS RUTH,892.50,REF0622
txn-08429,2024-12-13,THOMAS MICH,1875.50,REF0429
txn-00187,2024-12-20,DEP JENNIFER ANN GARCIA,4500.00,REF0187
txn-09255,2024-12-25,"THOMAS, MICHELLE ONLINE",1875.50,REF0255
txn-05373,2024-12-19,DAVID ALLEN MARTINEZ ACH PMT,189.99,REF0373
txn-06063,2024-12-10,JOSEPH MARK CLARK DEPOSIT,1567.00,REF0063
txn-06012,2024-12-19,NANCY LOU WALKER ACH PMT,287.00,REF0012
txn-01129,2024-12-20,JACKSON WILLIAM DEP,299.00,REF0129
txn-06497,2024-12-24,E WHITE ACH,5600.00,REF0497
txn-09994,2024-12-16,BANK ADJUSTMENT,84.67,EXT0994
txn-01915,2024-12-11,EXTERNAL TRANSFER IN,8258.47,EXT0915
txn-08437,2024-12-23,TURNER B DEP,4560.00,REF0437
txn-08153,2024-12-13,KEVIN MICHAEL PHILLIPS ACH,345.00,REF0153
txn-08867,2024-12-15,CHECK RECEIVED,287.00,REF0867
txn-00394,2024-12-18,"MARTIN, PATRICIA WIRE",1100.00,REF0394
txn-03543,2024-12-10,MICHELLE T,1875.50,REF0543
txn-02162,2024-12-15,BRIAN LEE TURNER DEPOSIT,4560.00,REF0162
txn-01043,2024-12-22,GEORGE WILLIAM CARTER ONLINE,9870.50,REF0043
txn-07117,2024-12-18,"JONES, SARAH DEPOSIT",1200.00,REF0117
txn-09944,2024-12-15,BANK ADJUSTMENT,143.32,EXT0944
txn-01279,2024-12-23,JACKSON WILLIAM ACH,299.00,REF0279
txn-05810,2024-12-24,COUNTER DEPOSIT,1234.00,REF0810
txn-01676,2024-12-18,E WHITE DEP,5600.00,REF0676
txn-00516,2024-12-14,ACH D SCOTT,789.25,REF0516
txn-05058,2024-12-13,"TURNER, BRIAN CHECK",4560.00,REF0058
txn-02572,2024-12-17,E DAVIS DEPOSIT,2340.00,REF0572
txn-08190,2024-12-25,PAYMENT JOSEPH MARK CLARK,1567.00,REF0190
txn-05512,2024-12-21,J HARRIS CHECK DEP,432.75,REF0512
txn-04744,2024-12-15,CHECK RECEIVED,3200.00,
txn-01291,2024-12-25,NELSON ASHLEY DEP,567.00,REF0291
txn-09880,2024-12-21,MISC PAYMENT,189.99,
txn-02697,2024-12-14,DAVIS E CHECK DEP,2340.00,REF0697
txn-06067,2024-12-22,BETTY JO KING ACH,198.50,REF0067
txn-01148,2024-12-19,KAREN SUE ALLEN ACH,534.00,REF0148
txn-06407,2024-12-22,MARTINEZ DAVI,189.99,REF0407
txn-07113,2024-12-22,ONLINE PMT ELIZABETH JANE WHITE,5600.00,REF0113
txn-05815,2024-12-24,UNKNOWN DEPOSIT,432.75,REF0815
txn-04098,2024-12-11,"DAVIS, EMILY ONLINE PMT",2340.00,REF0098
txn-00711,2024-12-21,WIRE TRANSFER,1890.75,REF0711
txn-07508,2024-12-15,DEPOSIT S ADAMS,456.75,REF0508
txn-03540,2024-12-10,ACH PMT J SMITH,450.00,REF0540
txn-00414,2024-12-10,M CAMPBELL PAYMENT,2567.75,REF0414
txn-06990,2024-12-15,LOYALTY BONUS,26.06,EXT0990
txn-09725,2024-12-23,UNKNOWN DEPOSIT,432.75,REF0725
txn-03269,2024-12-21,BAKER KENNETH ONLINE,3456.00,REF0269
txn-04469,2024-12-16,ANDERSON R WIRE,725.00,REF0469
txn-08991,2024-12-16,PROMOTIONAL CREDIT,163.03,EXT0991
txn-03763,2024-12-22,CASH DEPOSIT,892.50,REF0763
txn-02551,2024-12-16,P MARTIN ACH,1100.00,REF0551
txn-09302,2024-12-13,JACKSON WILLIAM ACH,299.00,REF0302
txn-00601,2024-12-20,JONES S ONLINE PMT,1200.00,REF0601
txn-00418,2024-12-25,CHECK D WRIGHT,2345.00,REF0418
txn-05527,2024-12-22,J HARRIS ACH PMT,432.75,REF0527
txn-06050,2024-12-21,"WILSON, AMANDA ONLINE",3200.00,REF0050
txn-05481,2024-12-10,JEN GARCIA ONLINE,4500.00,REF0481
txn-04933,2024-12-17,INVESTMENT INCOME,298.40,EXT0933
txn-03391,2024-12-13,GREEN RONALD ACH,1234.00,REF0391
txn-00928,2024-12-17,SETTLEMENT PAYMENT,7321.88,EXT0928
txn-06099,2024-12-18,"WILLIAMS, MICHAEL PAYMENT",875.50,REF0099
txn-09890,2024-12-19,PAYMENT RECEIVED,675.00,REF0890
txn-06239,2024-12-10,JACKSON WILLIAM DEPOSIT,299.00,REF0239
txn-01943,2024-12-11,BANK ADJUSTMENT,81.06,EXT0943
txn-02035,2024-12-22,"PHILLIPS, KEVIN CHECK",345.00,REF0035
txn-07206,2024-12-21,MARIA TERESA CAMPBELL ONLINE PMT,2567.75,REF0206
txn-01400,2024-12-15,ACH PMT RICHARD DEAN TAYLOR,8900.00,REF0400
txn-03812,2024-12-17,CHECK PAYMENT,2345.00,REF0812
txn-02906,2024-12-17,SETTLEMENT PAYMENT,5709.05,EXT0906
txn-08903,2024-12-17,INSURANCE REFUND,1974.34,EXT0903
txn-01673,2024-12-16,DON WRIGHT ACH,2345.00,REF0673
txn-09763,2024-12-22,CASH DEPOSIT,892.50,REF0763
txn-04088,2024-12-20,ONLINE PMT SUSAN KAY LEWIS,923.25,REF0088
txn-05256,2024-12-14,"ADAMS, SANDRA ACH PMT",456.75,REF0256
txn-07850,2024-12-13,MISC PAYMENT,5600.00,
txn-07185,2024-12-23,DOROTHY MAE SCOTT ONLINE PMT,789.25,REF0185
txn-04586,2024-12-19,ASH NELSON PAYMENT,567.00,REF0586
txn-00160,2024-12-14,ONLINE MICHAEL ROBERT WILLIAMS,875.50,REF0160
txn-03086,2024-12-13,THOMAS WAYNE ROBINSON ACH PMT,4125.00,REF0086
txn-08728,2024-12-11,CASH DEPOSIT,4125.00,REF0728
txn-07211,2024-12-19,"GARCIA, JENNIFER CHECK DEP",4500.00,REF0211
txn-06835,2024-12-11,COUNTER DEPOSIT,6750.00,
txn-08832,2024-12-19,ACH TRANSFER,1234.00,
txn-04056,2024-12-17,"WRIGHT, DONALD ACH PMT",2345.00,REF0056
txn-09698,2024-12-14,AMANDA WILSON,3200.00,REF0698
txn-08555,2024-12-22,BARBARA LEE,345.50,REF0555
txn-00063,2024-12-10,JOSEPH MARK CLARK DEPOSIT,1567.00,REF0063
txn-05979,2024-12-14,VENDOR REBATE,1510.99,EXT0979
txn-07697,2024-12-14,DAVIS E CHECK DEP,2340.00,REF0697
txn-05252,2024-12-13,ACH PMT THOMAS WAYNE ROBINSON,4125.00,REF0252
txn-05686,2024-12-24,PATRICIA MARTIN,1100.00,REF0686
txn-00292,2024-12-25,AMANDA LYNN WILSON ONLINE,3200.00,REF0292
txn-09274,2024-12-11,CHECK DEP SANDRA LEE ADAMS,456.75,REF0274
txn-00679,2024-12-15,THOMAS ROBINSON,4125.00,REF0679
txn-05917,2024-12-19,LOAN DISBURSEMENT,15925.74,EXT0917
txn-09590,2024-12-18,MICHAEL W,875.50,REF0590
txn-05653,2024-12-24,WRIGHT DONA,2345.00,REF0653
txn-08032,2024-12-12,SANDRA LEE ADAMS CHECK,456.75,REF0032
txn-07120,2024-12-24,JONES SARAH DEP,1200.00,REF0120
txn-02924,2024-12-16,ROYALTY PAYMENT,999.56,EXT0924
txn-06652,2024-12-10,MIC THOMAS DEP,1875.50,REF0652
txn-01013,2024-12-14,PATRICIA SUE MARTIN DEPOSIT,1100.00,REF0013
txn-04327,2024-12-13,CLARK JOSEPH DEPOSIT,1567.00,REF0327
txn-08086,2024-12-13,THOMAS WAYNE ROBINSON ACH PMT,4125.00,REF0086
txn-00060,2024-12-23,LEE BARBARA ONLINE,345.50,REF0060
txn-04244,2024-12-12,WRIGHT DONALD ONLINE,2345.00,REF0244
txn-07029,2024-12-23,ONLINE PMT JAMES PATRICK HARRIS,432.75,REF0029
txn-08870,2024-12-20,ONLINE DEPOSIT,198.50,
txn-04423,2024-12-19,WALKER NANC,287.00,REF0423
txn-03481,2024-12-10,JEN GARCIA ONLINE,4500.00,REF0481
txn-02604,2024-12-10,DAVIS EMIL,2340.00,REF0604
txn-04557,2024-12-21,MICHELLE T,1875.50,REF0557
txn-05305,2024-12-17,DANIEL RAY THOMPSON CHECK,2890.00,REF0305
txn-06473,2024-12-10,ACH PMT E PEREZ,1678.00,REF0473
txn-01158,2024-12-18,JOSEPH MARK CLARK ONLINE,1567.00,REF0158
txn-05437,2024-12-23,TURNER B DEP,4560.00,REF0437
txn-00540,2024-12-10,ACH PMT J SMITH,450.00,REF0540
txn-02351,2024-12-25,WRIGHT DONALD PAYMENT,2345.00,REF0351
txn-04431,2024-12-11,WILLIAMS MICH,875.50,REF0431
txn-00416,2024-12-20,MICHELLE T,1875.50,REF0416
txn-03091,2024-12-14,ACH BRIAN LEE TURNER,4560.00,REF0091
txn-02319,2024-12-18,ACH MARIA TERESA CAMPBELL,2567.75,REF0319
txn-02301,2024-12-11,"WALKER, NANCY ACH",287.00,REF0301
txn-04869,2024-12-11,PAYMENT RECEIVED,5600.00,REF0869
txn-07970,2024-12-17,REFUND FROM VENDOR,492.10,EXT0970
txn-08218,2024-12-21,ONLINE PMT MICHELLE KATE THOMAS,1875.50,REF0218
txn-05326,2024-12-10,"JACKSON, WILLIAM CHECK DEP",299.00,REF0326
txn-03976,2024-12-21,INSURANCE REFUND,561.61,EXT0976
txn-08378,2024-12-25,THOMAS MICHELLE ONLINE PMT,1875.50,REF0378
txn-00685,2024-12-24,CHECK DEP S JOHNSON,1200.00,REF0685
txn-01456,2024-12-10,DAVIS E CHECK DEP,2340.00,REF0456
txn-04793,2024-12-18,CHECK DEPOSIT,432.75,
txn-05661,2024-12-19,D THOMPSON DEPOSIT,2890.00,REF0661
txn-03962,2024-12-16,GRANT DEPOSIT,16706.22,EXT0962
txn-02935,2024-12-15,DIVIDEND PAYMENT,320.70,EXT0935
txn-00787,2024-12-19,CUSTOMER PAYMENT,432.75,REF0787
txn-09386,2024-12-13,SANDRA LEE ADAMS ONLINE,456.75,REF0386
txn-05106,2024-12-17,SUSAN KAY LEWIS PAYMENT,923.25,REF0106
txn-04580,2024-12-17,J SMITH PAYMENT,450.00,REF0580
txn-03070,2024-12-22,CARTER GEORGE ONLINE,9870.50,REF0070
txn-09362,2024-12-17,SANDRA LEE ADAMS ACH PMT,456.75,REF0362
txn-08513,2024-12-12,SMITH JOHN,450.00,REF0513
txn-09612,2024-12-15,ELI WHITE DEP,5600.00,REF0612
txn-04882,2024-12-16,ONLINE DEPOSIT,1678.00,
txn-09724,2024-12-14,CUSTOMER PAYMENT,1200.00,REF0724
txn-08162,2024-12-15,BRIAN LEE TURNER DEPOSIT,4560.00,REF0162
txn-09068,2024-12-18,CHECK RUTH ELLEN ROBERTS,892.50,REF0068
txn-04797,2024-12-22,CHECK RECEIVED,3200.00,REF0797
txn-00988,2024-12-10,VENDOR REBATE,1447.97,EXT0988
txn-03591,2024-12-10,SAR JOHNSON ACH,1200.00,REF0591
txn-06785,2024-12-10,ACH DEPOSIT,675.00,REF0785
txn-08745,2024-12-24,WIRE RECEIVED,725.00,REF0745
txn-01632,2024-12-22,RICHARD T,8900.00,REF0632
txn-00553,2024-12-17,ASH NELSON DEPOSIT,567.00,REF0553
txn-05636,2024-12-15,LEE B ONLINE PMT,345.50,REF0636
txn-08022,2024-12-21,KENNETH RAY BAKER PAYMENT,3456.00,REF0022
txn-00764,2024-12-16,WIRE TRANSFER,892.50,REF0764
txn-06040,2024-12-25,"JACKSON, WILLIAM DEPOSIT",299.00,REF0040
txn-00165,2024-12-19,"CARTER, GEORGE WIRE",9870.50,REF0165
txn-00486,2024-12-14,JOH SMITH ONLINE PMT,450.00,REF0486
txn-05319,2024-12-18,ACH MARIA TERESA CAMPBELL,2567.75,REF0319
txn-09190,2024-12-25,PAYMENT JOSEPH MARK CLARK,1567.00,REF0190
txn-05666,2024-12-23,EMILY DAVIS,2340.00,REF0666
txn-02816,2024-12-11,ONLINE DEPOSIT,2567.75,
txn-08965,2024-12-16,ROYALTY PAYMENT,1279.00,EXT0965
txn-07317,2024-12-25,CARTER GEORGE ACH PMT,9870.50,REF0317
txn-07397,2024-12-24,EDWARD JAMES PEREZ PAYMENT,1678.00,REF0397
